"","Acer_rubrum","Anemone_quinquefolia","Apocynum_androsaemifolium","Aralia_nudicaulis","Aronia_melanocarpa","Aster_macrophyllus","Betula_papyrifera","Carex_spp","Comptonia_peregrina","Coptis_trifolia","Cornus_canadensis","Corylus_americana","Cypripedium_acaule","Diervilla_lonicera","Epigaea_repens","Euthamia_graminifolia","Fragaria_virginiana","Galium_triflorum","Gaultheria_procumbens","Gaylussacia_baccata","Hieracium_aurantiacum","Ilex_verticillata","Krigia_biflora","Lycopodium_clavatum","Lysimachia_quadrifolia","Maianthemum_canadense","Maianthemum_racemosum","Melampyrum_lineare","Mitchella_repens","Osmunda_cinnamomea","Osmunda_claytoniana","Phalaris_arundinacea","Pinus_banksiana","Pinus_resinosa","Pinus_strobus","Poa_spp","Populus_grandidentata","Populus_tremuloides","Potentilla_simplex","Prunus_serotina","Prunus_virginiana","Pyrola_rotundifolia","Quercus_alba","Quercus_ellipsoidalis","Rhamnus_frangula","Rosa_spp","Rubus_spp","Smilax_tamnoides","Spiraea_alba","Toxicodendron_rydbergii","Trientalis_borealis","Uvularia_sessilifolia","Vaccinium_angustifolium","Viburnum_acerifolium","Viola_spp"
"s3318",21,0,6,0,1,0,0,43,0,0,0,12,0,2,0,0,4,0,5,0,2,2,0,1,30,13,0,0,11,0,0,0,0,0,22,0,0,0,0,22,1,0,0,28,2,5,44,0,0,0,3,0,40,0,0
"s3320",26,0,0,0,6,2,0,27,2,0,2,0,0,0,2,1,1,0,7,43,0,5,0,0,6,2,0,0,8,4,0,1,0,0,17,0,0,0,1,10,0,0,0,5,2,0,43,0,0,0,7,0,46,0,0
"s3322",32,3,0,5,8,0,0,34,0,7,20,0,1,0,0,0,0,0,7,30,0,16,0,1,3,27,0,0,1,7,0,4,0,0,25,0,0,0,0,4,0,0,0,23,1,0,35,0,1,0,26,1,39,0,1
"s3323",41,1,0,6,4,5,1,32,0,17,23,9,6,2,1,0,0,0,2,8,0,8,0,0,2,47,1,0,23,30,1,0,0,0,24,0,0,0,0,3,0,2,0,11,32,1,48,0,0,0,12,1,27,0,6
"s3325",41,0,1,1,4,0,0,36,0,0,8,0,1,0,0,0,0,0,10,23,0,10,0,0,1,21,3,0,22,2,0,0,1,0,30,0,0,1,0,20,0,0,0,14,1,0,24,0,0,0,10,9,39,0,0
"s3326",29,0,0,0,5,0,0,44,0,0,22,0,0,0,0,0,1,0,20,41,0,1,0,0,6,40,0,0,1,5,0,1,0,0,18,4,0,0,0,0,0,0,9,28,0,0,48,0,2,0,22,0,39,0,0
"s3328",27,4,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,6,11,0,7,0,0,0,8,0,0,43,2,0,0,0,0,25,0,0,0,1,0,0,0,1,6,0,0,22,0,0,1,2,0,12,0,0
"s3329",39,0,1,1,3,0,2,19,0,0,11,0,0,0,3,0,0,0,7,20,0,4,0,3,4,16,6,0,2,1,0,0,0,0,12,3,0,0,0,1,0,0,1,17,0,0,34,0,0,0,20,8,43,0,0
"s3330",11,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,2,25,0,2,1,0,1,25,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,4,38,0,0,6,0,0,0,0,0,19,0,1
"s3332",28,15,1,2,13,5,0,48,0,0,3,10,0,1,0,1,1,0,7,4,0,10,0,0,0,14,1,0,2,18,0,0,0,0,2,5,0,8,3,24,0,3,10,10,0,0,25,15,0,3,15,9,10,5,0
